,Date_Time,Site_ID,NOx,NO2,NO,PM10,O3,Temperature,ObjectId,ObjectId2,NVPM10,VPM10,NVPM2_5,PM2_5,VPM2_5,CO,RH,Pressure,SO2
16692,2020-11-29,501,18.25,17.0,0.75,28.29999924,0.0,0.0,0,16693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16693,2020-11-30,501,110.0,43.5,43.25,28.70000076,0.0,0.0,0,16694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16694,2020-11-30,501,42.5,33.5,6.0,14.27499962,0.0,0.0,0,16695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16695,2020-11-30,501,454.0,114.75,221.25,28.29999924,0.0,0.0,0,16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16696,2020-11-30,501,210.0,79.5,85.25,37.22499847,0.0,0.0,0,16697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16697,2020-12-01,501,136.0,53.0,54.0,19.82500076,0.0,0.0,0,16698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16698,2020-12-01,501,284.5,77.0,135.25,34.125,0.0,0.0,0,16699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16699,2020-12-02,501,93.25,30.75,40.75,16.97500038,0.0,0.0,0,16700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16700,2020-12-02,501,116.75,35.0,53.5,15.10000038,0.0,0.0,0,16701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16701,2020-12-02,501,451.25,80.25,241.5,65.47499847,0.0,0.0,0,16702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16702,2020-12-02,501,355.5,84.5,177.0,64.05000305,0.0,0.0,0,16703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16703,2020-12-02,501,295.25,77.75,142.0,53.52500153,0.0,0.0,0,16704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16704,2020-12-03,501,57.5,31.25,17.0,27.07500076,0.0,0.0,0,16705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16705,2020-12-03,501,57.75,23.75,22.5,5.375,0.0,0.0,0,16706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16706,2020-12-03,501,69.75,30.25,25.5,7.625,0.0,0.0,0,16707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16707,2020-12-05,501,53.25,20.5,21.0,7.199999809,0.0,0.0,0,16708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16708,2020-12-05,501,29.0,23.25,3.75,3.5,0.0,0.0,0,16709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16709,2020-12-05,501,17.5,13.75,2.5,3.099999905,0.0,0.0,0,16710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
